,0
135,Shield:Brush silver tower shield etched with the image of twin crossed battle axes
136,Shield:Brushed silver tower shield etched with the image of a towering keep
137,Shield:Buckler (crafted)
138,Shield:Buckler mosaicked with a gold-white temple amid lush gardens
139,Shield:Burnished bronze pavise
140,Shield:Burnished kite shield
141,Shield:Burnished oval shield emblazoned with detailed flames
142,Shield:Burnished steel kite shield embossed with the image of a striking sea serpent
143,Shield:Butterfly-shaped shield inlaid with vibrant crystals
144,Shield:Ceremonial battle shield with obsidian chips hammered into the image of a warhorse
145,Shield:Ceremonial shadowbark shield burned with a ring of overlapping runes
146,Shield:Ceremonial shield
147,Shield:Ceremonial shield engraved with shesegri etchings
148,Shield:Ceremonial shield engraved with the image of Andreshlew
149,Shield:Ceremonial tel'athi shield embossed with a pattern of stylized intertwining snakes
150,Shield:Ceremonial vardite aegis bristling with kertig spikes
151,Shield:Ceremonial war shield embellished with lapis lazuli and onyx
152,Shield:Cherrywood tower shield banded with oak
153,Shield:Chestnut leather shield adorned with a gleaming silver stallion
154,Shield:Chieftan's iron war shield encased in korograth leather
155,Shield:Circular buckler
156,Shield:Circular buckler painted with a smiling face (1)
157,Shield:Circular buckler painted with a smiling face (2)
158,Shield:Circular buckler painted with a smiling face on it
159,Shield:Circular shield bordered with silversteel
160,Shield:Circular shield engraved with shesegri etchings
161,Shield:Circular steel buckler embossed with a trio of interlocking gears
162,Shield:Circular steel valnik shield with silver-alloyed scrollwork
163,Shield:Compact buckler emblazoned with the crest of the Traders' Guild
164,Shield:Cooking pot lid
165,Shield:Cooking pot lid painted a clutch of kumquats
166,Shield:Cooking pot lid painted with a black and white spotted cow
167,Shield:Cooking pot lid painted with a grinning skull
168,Shield:Copper-banded ironwood buckler painted with a coiled ruby-eyed cobra
169,Shield:Coppery oval shield
170,Shield:Coruscated scale buckler
171,Shield:Cowhide-covered heater shield
172,Shield:Cowhide-covered medium buckler
173,Shield:Cowhide-covered round sipar
174,Shield:Cowhide-covered shield
175,Shield:Cowhide-covered small targe
176,Shield:Cowhide-covered tower shield
177,Shield:Cream-colored painted heater shield
178,Shield:Crescent horsehide shield
179,Shield:Crescent shield decorated with diamond-shaped sapphires
180,Shield:Crescent-shaped steel tower shield embossed with a horn-of-plenty and a cluster of ripe red grapes
181,Shield:Crested kite shield
182,Shield:Crimson kite shield embellished with a trio of blood-red teardrops
183,Shield:Crimson kite shield painted with a fearsome warrior turnip
184,Shield:Crimson painted circular buckler
185,Shield:Crimson target shield crafted from the carapace of a large crustacean
186,Shield:Crimson tower shield painted with a golden sun
187,Shield:Crocodile-skin buckler
188,Shield:Curved shield with a raised silver flange
189,Shield:Curved tower shield painted with a rayed sun on a deep crimson background
190,Shield:Curved tower shield painted with the image of a slain Lun'Shele Trekhalo
191,Shield:Curved tower shield painted with the image of a slain Lun'Shele trekhalo
192,Shield:Ebon steel sipar inset with flame spinels
193,Shield:Ebony oval shield with painted flowers
194,Shield:Ebony tower shield emblazoned with a platinum lightning bolt striking a stout oak tree
195,Shield:Ecru oval shield embossed with gold midwinter sickle blossoms around the rim
196,Shield:Eight-sided curved shield
197,Shield:Eight-sided curved shield (2)
198,Shield:Eight-sided kite shield
199,Shield:Eight-sided medium shield
200,Shield:Eight-sided oval shield
201,Shield:Elaborately tooled leather-wrapped valnik shield tethered with small deer antlers
202,Shield:Emblazoned tower shield
203,Shield:Emblazoned tower shield adorned with the silhouette of a dragon
204,Shield:Emblazoned tower shield adorned with the silhouette of a spider
205,Shield:Emblazoned tower shield etched with the image of a dark raven
206,Shield:Embossed aegis with concentric circles
207,Shield:Embossed bronze shield with black onyx inlay
208,Shield:Embossed pageant shield
209,Shield:Embossed tower shield inlaid with a mischievous turnip
210,Shield:Emerald green tower shield
211,Shield:Enameled blue pot lid
212,Shield:Enameled pavise shield displaying an armored knight on a rearing warhorse
213,Shield:Enameled tower shield painted with the Therengian royal crest
214,Shield:Engraved gold-burnished tower shield
215,Shield:Engraved iron shield with a studded steel rim
216,Shield:Engraved medium shield with a mischievous turnip
217,Shield:Engraved silver white shield
218,Shield:Enormous mistglass saucer with a ghostly-white sheen
219,Shield:Excellent shuri-kota shield
220,Shield:Filigreed silver kite shield embossed with an inscribed medallion at its center
221,Shield:Fine double broad shield
222,Shield:Fine wall shield
223,Shield:Firestained glaes buckler with a seven-pointed star boss
224,Shield:Firestained starsteel shield centered with a yavasite conflagration
225,Shield:Flame-shaped silver shield inlaid with gems to form an image of the Rissan Warrior Mage Guild
226,Shield:Forest green oval shield decorated with a snarling brown wolverine
227,Shield:Forged steel tower shield intricately etched with an image of the Rissan Paladin Guild
228,Shield:Gem encrusted kite shield depicting the plight of a river frog
229,Shield:Gem-encrusted medium shield depicting the plight of a river frog
230,Shield:Giant black scarab carapace streaked with fading bands of emerald green
231,Shield:Giant mussel shell
232,Shield:Gilded harp-shaped buckler inlaid with sparking lightning amethysts
233,Shield:Gilded pageant shield artistically engraved with the image of a winged peccary
234,Shield:Gilded target shield
235,Shield:Gladiator's scutum emblazoned with a boar beneath three lightning bolts
236,Shield:Gladiator's uthamar heater shield embossed with a stylized cambrinth sun
237,Shield:Gleaming agonite ceremonial shield engraved with a labyrinthine design
238,Shield:Gleaming brass targe painted with an illuminated lighthouse
239,Shield:Gleaming kite shield trimmed in gold
240,Shield:Gleaming metal war shield polished to a reflective shine
241,Shield:Gleaming silver kite shield limned with the image of a seaborne galleon
242,Shield:Gleaming silver shield etched with a rearing war horse
243,Shield:Gleaming silver tower shield emblazoned with a crest
244,Shield:Gleaming silver tower shield embossed with a set of golden scales
245,Shield:Gleaming silvery tower shield etched with gold
246,Shield:Gleaming steel Grey Raven guard's shield (1)
247,Shield:Gleaming steel Grey Raven guard's shield (2)
248,Shield:Gleaming steel shield shaped like a broad wolf's head
249,Shield:Gleaming steel target shield etched with a complex geometric design
250,Shield:Gleaming warrior's shield edged in white mistglass
251,Shield:Glittery coralite skirmisher's shield
252,Shield:Glittery cupcake-shaped targe sprinkled with raspberry-pink spikes
253,Shield:Gloomwood tower shield banded with tyrium
254,Shield:Glossy kuwinite battle shield
255,Shield:Glossy platter composed of multiple woods
256,Shield:Gnomish battle shield
257,Shield:Gnomish kite shield painted with a black-masked ferret
258,Shield:Gnomish kite shield painted with an amber honeybee
259,Shield:Gnomish shield
260,Shield:Goat-hide shield painted with a majestic lion proudly seated on a sand dune
261,Shield:Gold tower shield emblazoned with a rising sun
262,Shield:Gold-edged kite shield bearing an image of a magnificent unicorn
263,Shield:Gold-embossed oval shield
264,Shield:Gold-inlaid medium shield emblazoned with a ferociously scowling turnip
265,Shield:Gold-inlaid reinforced ironwood shield
266,Shield:Gold-plated tower shield emblazoned with a majestic lion
267,Shield:Gold-washed oval shield emblazoned with a bunch of chickens
268,Shield:Gold-washed target shield emblazoned with a bunch of chickens
269,Shield:Golden kite shield engraved with ebony olive laurels
270,Shield:Golden shield engraved with a lush desert oasis
271,Shield:Golden tower shield engraved with the crest of the Empath's guild
272,"Shield:Golden tower shield engraved with the words ""Destiny from the sky!"""
273,"Shield:Golden tower shield engraved with the words, ""If you can't kill it, buy it!"""
274,"Shield:Golden tower shield engraved with the words, ""Music may be the last thing you hear!"""
275,"Shield:Golden tower shield engraved with the words, ""Not all is as it appears!"""
276,"Shield:Golden tower shield engraved with the words, ""Truth, Loyalty, Honor!"""
277,Shield:Golden tower shield trimmed with glistening emeralds
278,Shield:Golden warrior's shield embossed with massive dragon's head design
279,Shield:Golden warrior's shield inlaid with black diamonds that form a soaring phoenix
280,Shield:Goldenoak shield painted with green vertical stripes
281,Shield:Green tower shield painted with a large brown mountain
282,Shield:Green-scaled buckler painted with a raging centaur
283,Shield:Grey Raven prisoner's tray wrapped with leather strapping
284,Shield:Grey Raven warden's shield crafted of blackened steel
285,Shield:Grey tower shield bearing a gold device
286,Shield:Grey tower shield divided by a turquoise cross
287,Shield:Grey-scale targe tooled with a black arachnid
288,Shield:Hammered brass shield inlaid with tooled leather
289,Shield:Hammered bronze targe worked into the shape of a ship's wheel
290,Shield:Hammered ka'hurst shield of abyssal black
291,Shield:Hammered silver kite shield etched with a scale design
292,Shield:Hammered-gold tower shield acid-etched with a wolf's head
293,Shield:Handcrafted oval shield emblazoned with a charging ox
294,Shield:Heavily studded targe
295,Shield:Heavy bronze-hued pot lid
296,Shield:Heavy iron aegis engraved with a cobalt-blue silhouette
297,Shield:Heavy steel shield laced with gold etching
298,Shield:Heavy steel shield shaped into the likeness of a dragon's head
299,Shield:Hide-covered tower shield reinforced with wide strips of copper
300,Shield:Hide-covered wooden shield
301,Shield:Hide-covered wooden shield painted with a charging ram
302,Shield:Hide-covered wooden shield painted with a strawberry tart
303,Shield:Highly polished silvery shield engraved with a prancing war horse
304,Shield:Highly-polished tower shield
305,Shield:Hooked abyssal-black buckler fashioned from a chitinous kraken beak
306,Shield:Huge tortoiseshell shield
307,Shield:Icesteel buckler displaying an array of blued moonsilver shards
308,Shield:Icesteel buckler encrusted with tiny winter emeralds
309,Shield:Icesteel shield emblazoned in black with a rearing dragon
310,Shield:Icesteel shield emblazoned in gold with a roaring lion
311,Shield:Icesteel targe reinforced with a web of crisscrossing silversteel
312,Shield:Icesteel tower shield inlaid with a winter-bare sana'ati tree
313,Shield:Icy-white ironwood buckler featuring a dark grey stormcloud
314,Shield:Imbricated morgawr-scale targe edged in coiling glaes tentacles
315,Shield:Imposing vardite oval shield shrouded in jeweled lyrandia vines
316,Shield:Indigo shield painted with a fearsome warrior turnip
317,Shield:Indurium sipar with firesilk backing
318,Shield:Inky black diacan war shield
319,Shield:Intricately carved ironwood shield
320,Shield:Iron tooth-edged valnik shield
321,Shield:Iron tower shield with an empty gem socket
322,Shield:Iron-banded kite shield lined with fractured bone
323,Shield:Iron-banded shield with a leather grip
324,Shield:Iron-banded targe of ebonwood
325,Shield:Iron-bound buckler
326,Shield:Ironwood buckler
327,Shield:Ivory-edged kite shield bearing an image of a magnificent unicorn
328,Shield:Jagged metal plate covered in a mass of interlocking gears and cogs (1)
329,Shield:Jagged metal plate covered in a mass of interlocking gears and cogs (2)
330,Shield:Jeweled tower shield inlaid with a pattern of clawed paw-prints
331,Shield:Jousting shield (1)
332,Shield:Jousting shield (2)
333,Shield:Kertig targe adorned with crimson moonsilver
334,Shield:Kiralan war shield glimmering with motes of asarenjan
335,Shield:Kite shield (1)
336,Shield:Kite shield (2)
337,Shield:Kite shield (leather)
338,Shield:Kite shield adorned with ornamental platinum prongs shaped like horns
339,Shield:Kite shield engraved with an undead horde
340,Shield:Kite shield engraved with shesegri etchings
341,Shield:Kite shield etched with leaves around the rim
342,Shield:Kite shield painted with a large red kite
343,Shield:Kite shield painted with a ring of purple flowers circling a smiling gerbil
344,Shield:Laminated bronze shield embossed with a mongoose and cobra locked in mortal combat
345,Shield:Large battle shield engraved with a crest
346,Shield:Large gryphon talon
347,Shield:Large horseshoe crab shell shield
348,Shield:Large iron tower shield prominently displaying a silver crest
349,Shield:Large metal block
350,Shield:Large oval shield emblazoned with the image of a tumultuous ocean
351,Shield:Large pewter platter with a crude handle on the inside
352,Shield:Large pot lid marred with numerous dents and scrapes
353,Shield:Large round shield
354,Shield:Large shield with a weight support strap
355,Shield:Large steel war shield emblazoned with a pair of golden wings
356,Shield:Large tortoiseshell shield
357,Shield:Large wooden sled with bits of flaking red paint
358,Shield:Leather bound targe
359,Shield:Leather shield reinforced with riveted burgundy leather straps
360,Shield:Leather targe painted with a battle scene
361,Shield:Leather targe painted with a majestic meadow scene
362,Shield:Leather targe with chocolate brown strips riveted by brass brads
363,Shield:Leather-covered buckler (1)
364,Shield:Leather-covered buckler (2)
365,Shield:Leather-trimmed shield
366,Shield:Leather-wrapped scutum with an etched iron rim
367,Shield:Little black target shield stamped with a silver tart
368,Shield:Loimic skirmisher's shield embedded with fragments of stura atulave
369,Shield:Lozenge-shaped leather shield tooled with the image of Katamba
370,Shield:Lurid green oval shield etched with tendrils of lightning
371,Shield:Lustrous silversteel jousting shield decorated with jeweled knotwork
372,Shield:Lustrous steel sipar painted with a polychromatic conflagration
373,Shield:Massive black Imperial wall shield
374,Shield:Massive cell door with a small barred window
375,Shield:Massive polished black round shield with a silvered skull boss
376,Shield:Massive round shield embossed with a rising orichalcum phoenix
377,Shield:Massive steel kite shield polished to a mirror finish
378,Shield:Massive steel riot shield painted with a black raven on a dull grey background
379,Shield:Massive steel wall shield embossed with a black tower upon a royal blue field
380,Shield:Massive vardite phalanx shield with a blackened skull boss
381,Shield:Massive wall shield bearing the personal arms of Raenaden Jeladric Theren
382,Shield:Masterfully carved ironwood shield
383,Shield:Matte black aegis etched with gold
384,Shield:Matte black leather buckler painted with a hanging corpse
385,Shield:Matte black tower shield artfully painted with a pride of lions resting amid sand dunes
386,Shield:Matte black tower shield embellished with a huge bloodstone at its center
387,Shield:Matte black tower shield studded with silver crescents
388,Shield:Matte silver targe painted with a ship
389,Shield:Matte-black shield embossed with an emerald-eyed cobra
390,Shield:Matte-black tower shield embellished with a huge bloodstone at its center
391,Shield:Medium buckler
392,Shield:Medium buckler (crafted)
393,Shield:Medium shield
394,Shield:Medium shield (leather)
395,Shield:Medium shield (metal)
396,Shield:Medium shield bearing electrum silhouettes of big cats
397,Shield:Medium shield painted with the image of a galloping horseman
398,Shield:Metal kite shield
399,Shield:Metal oval shield
400,Shield:Metal target shield
401,Shield:Metal tower shield
402,Shield:Metal war shield enameled with a pearl grey tower being hit by a bright white lightning bolt
403,Shield:Midnight blue tower shield
404,Shield:Midnight blue tower shield embedded with nine golden stars
405,Shield:Midnight-blue targe emblazoned with the crest of the Moon Mage Guild
406,Shield:Mirror-finished tower shield centered with a steel dome
407,Shield:Mistwood shield inlaid with an ivory hawk
408,Shield:Mistwood target shield painted with a red glitter bullseye
409,Shield:Moonsilver studded war shield of dark blue glaes
410,Shield:Moss-covered glaes heater shield erupting with shattered spikes
411,Shield:Mountain-shaped warrior's shield
412,Shield:Notched wooden shield
413,Shield:Oblong tower shield inlaid with a large silver spiderweb
414,Shield:Oiled bullhide shield
415,Shield:Olvi war shield forged from pure lumium
416,Shield:Orange oval shield embedded with black steel studs in the shape of a grinning face
417,Shield:Orange-striped tower shield with bold black lettering
418,Shield:Ordinary shield
419,Shield:Ordinary shield (leather)
420,Shield:Ordinary shield (metal)
421,Shield:Orichalcum-inlaid round sipar crafted of chitinous black tomiek
422,Shield:Ornate enameled buckler filigreed with a white gold lotus
423,Shield:Ornate steel war shield encrusted with blood-red rubies
424,Shield:Ornate target shield studded with small tomiek blade spiders
425,Shield:Ornate tower shield embossed with a snorting destrier
426,Shield:Ornately carved medium shield embellished with a golden turnip
427,Shield:Ornately-carved ironwood targe embellished with a golden turnip
428,Shield:Oval ironwood buckler carved to resemble a large sea turtle
429,Shield:Oval seaturtle shell shield with dark leather straps
430,Shield:Oval shield
431,Shield:Oval shield (leather)
432,Shield:Oval shield (metal)
433,Shield:Oval shield affixed with twin red-gold cobras
434,Shield:Oval shield engraved with shesegri etchings
435,Shield:Oval shield painted with an apple
436,Shield:Oval shield painted with assorted nautical knots
437,Shield:Oval shield with a brightly painted Jolly Roger
438,Shield:Oval shield with a painted albatross in flight over a rough sea
439,Shield:Oval steel shield emblazoned with a giant mechanical spider
440,Shield:Ovoid steel buckler embossed with a black iron raven
441,Shield:Painted buckler with a bull's head on the front
442,Shield:Painted circular buckler depicting a coiled naga in bright green
443,Shield:Painted large shield patterned like cowhide
444,Shield:Painted oval shield bearing the image of an octopus
445,Shield:Painted shield with a large spotted cow on the front
446,Shield:Pale blue oval shield embossed with a polished steel dolphin
447,Shield:Pale hide shield
448,Shield:Pale silver buckler branded with the outline of a sea-tossed caravel
449,Shield:Pale yellow buckler painted in a simple style with a white chicken
450,Shield:Patterned wickerwork shield
451,Shield:Pavise
452,Shield:Pitted iron target shield
453,Shield:Plain buckler
454,Shield:Plain ironwood kite shield branded with the image of a fierce shark
455,Shield:Plain shield
456,Shield:Plain targe
457,Shield:Platinum-edged triangular sipar with an engraving of an owl
458,Shield:Polished agonite ceremonial shield embellished with eventide moonstone chips
459,Shield:Polished battle shield engraved with shesegri etchings
460,Shield:Polished black ceremonial shield embossed with a seven-pointed star
461,Shield:Polished black coral shield edged in platinum filigree
462,Shield:Polished black coral shield edged in silver filigree
463,Shield:Polished black round shield embossed with a pair of gold dragons
464,Shield:Polished brass kite shield embossed with the image of crossed sabers
465,Shield:Polished copperwood shield branded with dragonflies
466,Shield:Polished ebony shield emblazoned with a fractured lightning bolt
467,Shield:Polished gold shield embossed with an armored knight
468,Shield:Polished golden kite shield painted with black gryphons
469,Shield:Polished iron target shield with a hollow setting at its top edge
470,Shield:Polished kite shield acid-etched with a jousting helmet
471,Shield:Polished kite shield embellished with a gold and platinum filigree
472,Shield:Polished kite shield emblazoned with a darkened storm cloud
473,Shield:Polished kite shield emblazoned with a rising phoenix (1)
474,Shield:Polished kite shield emblazoned with a rising phoenix (2)
475,Shield:Polished kite shield painted with a still life
476,Shield:Polished oval shield emblazoned with the image of a wavering ethereal shield
477,Shield:Polished oval shield etched with a raven pecking at a pile of gems
478,Shield:Polished oval shield painted with a great turnip battle scene
479,Shield:Polished oval shield with a silver boss trimmed in mother-of-pearl
480,Shield:Polished round shield emblazoned with a midnight black stallion
481,Shield:Polished silver buckler overlaid with a sculpted fan of graceful palm fronds
482,Shield:Polished silver kite shield inlaid with a jovial slug
483,Shield:Polished silver shield inlaid with a jovial slug
484,Shield:Polished silver-white shield
485,Shield:Polished small shield engraved with shesegri etchings
486,Shield:Polished steel targe shaped like a large clam shell
487,Shield:Polished steel target shield embossed with a gaping shark's head
488,Shield:Polished steel war shield embossed with a trio of hounds
489,Shield:Polished tower shield inlaid with a silver-eyed onyx wolf
490,Shield:Polished wood buckler with vertebral bone trimwork
491,Shield:Prismatic moonsilver buckler studded with spiritgems
492,Shield:Pristine hide buckler burned with the image of a rearing buck
493,Shield:Pumpkin-shaped target shield painted with a large angry face
494,Shield:Puppy-emblazoned tower shield
495,Shield:Purple oval shield embossed with a blue unyn centered on a thin web of white paint
496,Shield:Purple tower shield inlaid with a golden crown
497,Shield:Razaksel-edged triangular sipar with an engraving of waves
498,Shield:Razor-edged claw
499,Shield:Razor-edged obsidian oval shield
500,Shield:Rectangular cookie sheet shield
501,Shield:Rectangular shield enameled with a battle-worn centaur on a black field
502,Shield:Red kite shield inlaid with cinnabar and opal highlights
503,Shield:Reinforced bronze shield with iron rivets set around the rim
504,Shield:Reinforced cougar-hide targe
505,Shield:Reinforced leather buckler painted with an alluring siren
506,Shield:Reinforced leather shield
507,Shield:Reinforced shuri-kota
508,Shield:Reinforced small shield emblazoned with an owl in flight
509,Shield:Reinforced smokewhorl shield wreathed with dragonfire amber flames
510,Shield:Reinforced war shield
511,Shield:Rough sandstone slab incised with odd symbols
512,Shield:Roughly-constructed buckler crudely emblazoned with a single large knife
513,Shield:Round apple-green sipar with a raised white gold boss
514,Shield:Round buckler emblazoned with the crest of the Barbarians' Guild
515,Shield:Round cauldron lid of polished steel
516,Shield:Round gladiator's shield with a razaksel boss
517,Shield:Round painted sipar
518,Shield:Round shield painted to resemble Xibar
519,Shield:Round sipar with a raised boss
520,Shield:Round steel shield emblazoned with a rampant brass griffon
521,Shield:Round steel shield emblazoned with a rampant brass gryphon
522,Shield:Round steel shield with a brass-inlaid center
523,Shield:Round steel sipar embossed with a grinning skull motif
524,Shield:Round white shield painted with a green shamrock
525,Shield:Round wolf-tail shield
526,Shield:Round wooden shield painted to resemble Katamba
527,Shield:Rounded tower shield bearing a wooden emblem
528,Shield:Royal blue tower shield bearing a gold device
529,Shield:Rusty iron jailer's food tray
530,Shield:Rusty rondache
531,Shield:Rusty target shield with tattered leather bindings
532,Shield:Sable iron shield with a brass boss
533,Shield:Salt-stained shield
534,Shield:Salt-tinged tower shield scarred deeply with a seven-pointed star
535,Shield:Sand-brushed silver shield inlaid with a jeweled desert rose
536,Shield:Scabrous morgawr-scale targe studded with crocodile teeth
537,Shield:Scarlet glaes buckler inlaid with a tomiek spider in a web of aldamdin
538,Shield:Scarred leather buckler shaped like a massive claw
539,Shield:Scarred steel kite shield
540,Shield:Shadowleaf small shield painted with a darkly sanguine king protea
541,Shield:Shadowy shield
542,Shield:Shield painted with the image of a rearing black unicorn
543,Shield:Shield tooled with the visage of a fiercely mewling pink kitten
544,Shield:Shield with the image of a juicy ham over two pieces of crispy bacon
545,Shield:Acid-etched tyrium target shield
546,Shield:Aegis (crafted)
547,Shield:Azure pageant shield emblazoned with a gold dragon
548,Shield:Azure target shield embellished with silver anchors
549,Shield:Badly misshapen bone shield
550,Shield:Barmaid's sturdy wicker tray
551,Shield:Barnacle-encrusted bronze kite shield
552,Shield:Battered oval shield
553,Shield:Battered wooden shield sloppily painted with faded insignia
554,Shield:Battle-worn black steel tower shield
555,Shield:Beaten brass shield
