,0
70,"Weapon:""WHIPSTER"" bolt"
71,"Weapon:""WITH A SLING!"" pellet"
72,"Weapon:""WORM-HEAD"" arrow"
73,"Weapon:""YOU WIN"" arrow"
74,"Weapon:""YOU WIN"" bolt"
75,Weapon:A leaf-bladed spear set with cambrinth rings
76,Weapon:Abalone-inlaid walnut crossbow
77,Weapon:Abassi (1)
78,Weapon:Abassi (2)
79,Weapon:Abassi (crafted)
80,Weapon:Abyssal black haledroth elbow spikes
81,Weapon:Abyssal black haledroth footwraps
82,Weapon:Abyssal black haledroth knee spikes
83,Weapon:Abyssal black haledroth knuckles
84,Weapon:Acanth staff sling with silk whipcords
85,Weapon:Acanth wood arbalest carved with tiny vines
86,Weapon:Acid-etched broadsword with a smooth bone hilt
87,Weapon:Acid-etched cutlass
88,Weapon:Acid-etched jeweled longsword
89,Weapon:Acid-etched nimsha with a carved dragon's blood crystal pommel
90,Weapon:Acid-etched sabre
91,Weapon:Acid-etched sabre with a black opal-inlaid pommel
92,Weapon:Acid-etched steel horseshoe stamped with the crest of the Paladins' Guild
93,Weapon:Acid-etched tei'oloh'ata
94,Weapon:Acid-etched two-handed sword with quillions shaped like writhing serpents
95,Weapon:Adder-shaped sacrificial dagger
96,Weapon:Adderwood belaying pin banded with red stripes
97,Weapon:Adderwood cane with a black gold snake's head topper
98,Weapon:Adderwood latchbow set with serpent's heart rubies
99,Weapon:Adderwood shortbow shaped like twin serpents
100,Weapon:Admiral's cane topped with a tempest sapphire
101,Weapon:Admiral's cutlass with a fancifully engraved hilt
102,Weapon:Admiral's light crossbow crafted from smooth ebonwood
103,Weapon:Adze
104,Weapon:Adze (2)
105,Weapon:Adze (crafted)
106,Weapon:Aesetani applewood shortbow
107,Weapon:Aesetani applewood staff inlaid with sana'ati hearts
108,Weapon:Aesfilt blade
109,Weapon:Agonite back-sword with a dragon fire opal set in the pommel
110,Weapon:Agonite broadsword with a dragon fire opal set in the pommel
111,Weapon:Agonite judge's gavel wrapped in pale crimson kirmiko
112,Weapon:Agonite longsword with a dragon fire opal set in the pommel
113,Weapon:Agonite mace with a head cast in the shape of a frog
114,Weapon:Agonite spatha with a dragon fire opal set in the pommel
115,Weapon:Akabo (1)
116,Weapon:Akabo (2)
117,Weapon:Akabo (crafted)
118,Weapon:Akren dzelt
119,Weapon:Alabaster unicorn hobbyhorse
120,Weapon:Alavern-hilted haledroth longsword
121,Weapon:Albarco blowgun dart with colorful iridescent flights
122,Weapon:Aldamdin longsword etched with funnel-web spiders along the blade
123,Weapon:Aldamdin staff etched with numerous sigils
124,Weapon:Alder gut-stringed longbow with a cracked leather grip
125,Weapon:Alder gut-stringed shortbow with a cracked leather grip
126,Weapon:Alder handled throwing hammer
127,Weapon:Alerce battle crossbow encrusted with blush-hued rubies
128,"Weapon:Alerce-covered treatise entitled ""Whoops!"""
129,Weapon:Alerce-hilted throwing hammer with a shark-shaped head
130,Weapon:Allarh
131,Weapon:Allarh (crafted)
132,Weapon:Alpine crossbow with a magenta boltplate
133,Weapon:Amber gold fist
134,Weapon:Amethyst-tinted sabre adorned with an ivory scrimshaw pommel
135,Weapon:Angiswaerd arrow
136,Weapon:Angiswaerd bolt
137,Weapon:Angiswaerd fang handwraps
138,Weapon:Animite war hammer with a polished head
139,Weapon:Antiquated curved-bladed khukri
140,Weapon:Antique cup-hilted rapier
141,Weapon:Antique harvester's sickle restored with a sharpened blade of curved glaes
142,Weapon:Antique swept-hilt rapier
143,Weapon:Antiqued silver-edged broadsword with a snake-shaped brass guard and falcon pommel
144,Weapon:Antler fragment
145,Weapon:Antler-handled carving knife etched with bolts of fractured lightning
146,Weapon:Antler-hilted kanabu
147,Weapon:Apple cores
148,Weapon:Arbalest
149,Weapon:Archaeologist's vardite round point shovel with a warped ironwood handle
150,Weapon:Arrow
151,Weapon:Arsenic-black scepter studded with purple gold
152,Weapon:Arzfilt
153,Weapon:Arzfilt (crafted)
154,Weapon:Ash and teak composite bow with a bleached leather grip
155,Weapon:Ash handled splitting maul
156,Weapon:Ash longbow
157,Weapon:Ash pilum with a steel tip
158,Weapon:Ash short bow
159,Weapon:Ash staff sling with wool whipcords
160,Weapon:Ash-hafted halberd with a jagged red-bronze blade
161,Weapon:Ash-hafted partisan etched with silvered unicorns
162,Weapon:Ash-hafted short hammer with a haralun head
163,Weapon:Ash-hafted whaling spear
164,Weapon:Ash-handled pike
165,Weapon:Ash-handled war hammer
166,Weapon:Ash-hilted oben with an enameled pommel
167,Weapon:Ash-rubbed scimitar with a silver hilt
168,Weapon:Asharsh'dai wildland machete with an elaborately sculpted Imperial coral
169,Weapon:Asharsh'dai wildland machete with an elaborately sculpted Imperial coral handle
170,Weapon:Asini duraka skefne adorned with jaguar-pelt
171,Weapon:Asini icepick
172,Weapon:Asini pitchfork inset with pink topaz pigs along the haft
173,Weapon:Assassin's blade worked from lamp-blackened vardite
174,Weapon:Assassin's dagger
175,Weapon:Assassin's dagger etched with a rearing dragon
176,Weapon:Assassin's throwing blade with a serrated edge
177,Weapon:Atapwi
178,Weapon:Athame with a fireball-shaped ruby inlaid in the handle
179,Weapon:Athame with a jade leaf inlaid in the handle
180,Weapon:Athame with a star-cut diamond inlaid in the handle
181,Weapon:Athame with an abyssal quartz inlaid in the handle
182,Weapon:Athame with an anloral triskele inlaid in the handle
183,Weapon:Aubergine cypress longbow with a leaf-green leather grip
184,Weapon:Audrualm dire mace forged with a repeating snowflake pattern
185,Weapon:Audrualm-edged claymore with an intricately engraved crossguard
186,Weapon:Audrualm-legged blade spider
187,Weapon:Austere aspen staff carved with intricate geometric sigils down its length
188,Weapon:Avodire blowgun dart with brilliant red flights
189,Weapon:Awgravet ava (1)
190,Weapon:Awgravet ava (2)
191,Weapon:Awgravet ava (crafted)
192,Weapon:Awgravet ava with a bronze-inlaid haft
193,Weapon:Awl pike (crafted)
194,Weapon:Awl pike of black steel embellished with small ornate plates
195,Weapon:Axe (1)
196,Weapon:Ayabere broom handle
197,Weapon:Ayabere-handled machete
198,Weapon:Azure-tinted bastard sword with a golden seahorse-shaped handguard
199,Weapon:Azurelle and vardite battle arbalest
200,Weapon:Azurelle longbow carved with rearing dragons
201,Weapon:Back-sword (crafted)
202,Weapon:Badly dented iron parry stick
203,Weapon:Badly gouged steel gladius with a reticulated mistwood grip
204,Weapon:Badly rusted steel surgical saw with a simple oak haft
205,Weapon:Balanced alpine crossbow with an intricately carved iroko stock
206,Weapon:Balanced boar spear chiseled with rampaging centaurs
207,Weapon:Balanced competition longbow
208,Weapon:Balanced haledroth boko
209,Weapon:Balanced light crossbow
210,Weapon:Balanced light crossbow engraved with a delicate labyrinthine pattern
211,Weapon:Balanced light crossbow with an intricately carved knotwork pattern
212,Weapon:Balanced light crossbow with an intricately carved stock
213,Weapon:Balanced metal dart
214,Weapon:Balanced silverwillow crossbow inlaid with a row of snow opals
215,Weapon:Balanced steel longsword with a gilded ribbon hilt
216,Weapon:Balanced stone (crafted)
217,Weapon:Balanced tonfa (crafted)
218,Weapon:Balanced tyrium nodachi inlaid with verdant moonsilver
219,Weapon:Baling knife
220,Weapon:Ball and chain
221,Weapon:Ball and chain (2)
222,Weapon:Ball and chain (crafted)
223,Weapon:Bamboo blowgun dart with buzzard-feather flights
224,Weapon:Bamboo blowgun wrapped in dried morah vines
225,Weapon:Bamboo bo stick
226,Weapon:Bamboo nightstick etched with a curling dragon
227,Weapon:Bamboo-hilted longsword with a zombie piranha pommel
228,Weapon:Bamboo-hilted scimitar with an etched blade
229,Weapon:Banded acanth quarterstaff
230,Weapon:Banded competition shortbow
231,Weapon:Banded ebony quarterstaff
232,Weapon:Banded lunat quarterstaff
233,Weapon:Bar mace
234,Weapon:Bar mace (2)
235,Weapon:Bar mace (crafted)
236,Weapon:Barb-spiked ironwood club
237,Weapon:Barb-tipped spear with a nickel-plated haft
238,Weapon:Barbed arrow
239,Weapon:Barbed arrow (2)
240,Weapon:Barbed bolt
241,Weapon:Barbed dart with sleek black feather flights
242,Weapon:Barbed dart with sleek black feather flights (2)
243,Weapon:Barbed fish hook-shaped elbow spikes
244,Weapon:Barbed predator's spear with a deep purple osage haft
245,Weapon:Barbed three-pronged frog spear
246,Weapon:Barbed throwing blade
247,Weapon:Barbed trident
248,Weapon:Barbed trident made of steel
249,Weapon:Bardiche (crafted)
250,Weapon:Barkeep's ragged wooden cudgel
251,Weapon:Barnacle encrusted scimitar
252,Weapon:Barrel slat
253,Weapon:Baselard (crafted)
254,Weapon:Basilisk arrow
255,Weapon:Basilisk bolt
256,Weapon:Basilisk fang elbow blades
257,Weapon:Basket-hilt cutlass
258,Weapon:Basket-hilt misericorde decorated with gold inlay
259,Weapon:Basket-hilt rapier with a dragonwood hilt
260,Weapon:Basket-hilted broadsword
261,Weapon:Basket-hilted bronze warsword
262,Weapon:Basket-hilted foil
263,Weapon:Basket-hilted foil (2)
264,Weapon:Basket-hilted foil with an engraved blade
265,Weapon:Basket-hilted matte black steel dueling rapier
266,Weapon:Basket-hilted rapier with a bird-shaped pommel
267,Weapon:Basket-hilted rapier with a wagon-wheel basket
268,Weapon:Basket-hilted sword rapier
269,Weapon:Bastard sword
270,Weapon:Bastard sword (2)
271,Weapon:Bastard sword (crafted)
272,Weapon:Bastard sword of mirror-finished steel with a star sapphire pommel
273,Weapon:Bastard sword of mirror-finished steel with a star sapphire pommel (2)
274,Weapon:Bastard sword with a chaos chalcedony-eyed libger hilt
275,Weapon:Bastard sword with a flower-embossed pink leather grip
276,Weapon:Bastard sword with amethyst vine flowers engraved on the blade
277,Weapon:Bastard sword with wormwood leaves and flowers engraved along the blade
278,Weapon:Bat-winged corsesca
279,Weapon:Baton-shaped oak bludgeon
280,Weapon:Battered ash spear
281,Weapon:Battered belaying pin
282,Weapon:Battered black broadsword
283,Weapon:Battered bone-shafted spear
284,Weapon:Battered bronze bastard sword
285,Weapon:Battered bronze dagger
286,Weapon:Battered cutlass with a tarnished silver hilt
287,Weapon:Battered farmer's boot caked in layers of crusted on mud
288,Weapon:Battered huntsman's axe with the crest of the Empaths' Guild engraved upon the haft
289,Weapon:Battered ivory-gripped crossbow
290,Weapon:Battered leather-wrapped spear
291,Weapon:Battered modwir spear
292,Weapon:Battered oak staff
293,Weapon:Battered pine spear
294,Weapon:Battered steel-gripped longbow
295,Weapon:Battered straw broom
296,Weapon:Battle axe
297,Weapon:Battle axe (crafted)
298,Weapon:Battle axe bound with frayed twine
299,Weapon:Battle axe engraved with lightning bolts
300,Weapon:Battle axe with a deobar handle capped by a carved dragon's head
301,Weapon:Battle monk's parry stick branded with interlocking holy symbols
302,Weapon:Battle-worn mace
303,Weapon:Battle-worn skirmisher's bow with an etched iron grip
304,Weapon:Bear claw handwraps
305,Weapon:Bearded war axe embellished with fur
306,Weapon:Bearded war axe with a carved bone handle
307,Weapon:Bearded war axe with a carved bone handle (2)
308,Weapon:Beastly haledroth greathammer
309,Weapon:Beechwood short bow
310,Weapon:Beisswurm fang handwraps
311,Weapon:Bejeweled Dwarven mace etched with a swooping raven along the haft
312,Weapon:Bejeweled mambeli with an ornate pommel and a platinum-plated handguard (1)
313,Weapon:Bejeweled mambeli with an ornate pommel and a platinum-plated handguard (2)
314,Weapon:Bejeweled silver hammer
315,Weapon:Bejeweled silver knife
316,Weapon:Bejeweled silver scepter
317,Weapon:Bejeweled wyvern-headed mace with a dragonwood haft
318,Weapon:Belaying pin (1)
319,Weapon:Belaying pin (2)
320,Weapon:Belaying pin (crafted)
321,Weapon:Belaying pin carved from a block of mahogany
322,Weapon:Belaying pin of oak studded with brass beads
323,Weapon:Belt knife
324,Weapon:Belt knife engraved with the image of a great winged dragon
325,Weapon:Bent bone-hilted axe
326,Weapon:Bent bone-hilted broadsword
327,Weapon:Bent bone-hilted longsword
328,Weapon:Bent bone-hilted scimitar
329,Weapon:Bent broadsword
330,Weapon:Bent hoof pick
331,Weapon:Bent rapier
332,Weapon:Bent-tined pitchfork
333,Weapon:Berry-stained leather sling
334,Weapon:Beveled broadaxe set on an oak haft
335,Weapon:Beveled turpeer (1)
336,Weapon:Beveled turpeer (2)
337,Weapon:Big gnarled root with a nasty looking knob at the end
338,"Weapon:Big pink journal emblazoned with the title ""Slam Book!"""
339,Weapon:Big-fist katar
340,Weapon:Big-noggin throwing hammer
341,Weapon:Birch log studded with sharp chunks of glaes at one end
342,Weapon:Birch-hilted dagger engraved with roaring lions
343,Weapon:Birch-hilted longsword with an engraved blade
344,Weapon:Black and blue ringed competition shortbow
345,Weapon:Black and tan iron knuckles
346,Weapon:Black and white spotted hobbyhorse
347,Weapon:Black broadsword with a leather-wrapped grip
348,Weapon:Black coral walking stick
349,Weapon:Black coral-handled carving knife
350,Weapon:Black dagger inlaid with mother of pearl
351,Weapon:Black dragonwood longbow with a leather-wrapped grip
352,Weapon:Black ebony crossbow inlaid with mother-of-pearl
353,Weapon:Black feather-tufted spear
354,Weapon:Black goblin-skin sling with a branded leather thumb guard
355,Weapon:Black Gorbesh composite bow with tips fashioned in gold
356,Weapon:Black haralun nightstick studded with glaes shards
357,Weapon:Black iron axe with a maple handle wrapped in thin leather cording
358,Weapon:Black iron ball and chain etched with a grinning skull
359,Weapon:Black iron ball and chain shaped in the appearance of a fleshless skull and spine
360,Weapon:Black iron hunting dagger with an empty socket for the pommel
361,Weapon:Black ironwood slurbow adorned by a web-etched red gold barrel
362,Weapon:Black ironwood throwing club coated in fine lacquer
363,Weapon:Black ironwood-hafted mace wrapped in fine blue leather
364,Weapon:Black lacquered cane with a carved silver grip
365,Weapon:Black lacquered parry stick painted with the Order of the Apostles crest
366,Weapon:Black laquered bamboo crossbow with a brushed nickel boltplate
367,Weapon:Black laquered bamboo crossbow with ivory endtips
368,Weapon:Black leather bola with a trio of ruby-tipped spiked weights
369,Weapon:Black leather elbow wraps affixed with broken fork tines
370,Weapon:Black leather elbow wraps affixed with dagger blades
371,Weapon:Black leather sling (1)
372,Weapon:Black leather sling (2)
373,Weapon:Black leather sling with braided warcat-hair whipcords
374,Weapon:Black leather-wrapped war axe with a long sweeping blade
375,Weapon:Black locust crossbow inlaid with mother-of-pearl
376,Weapon:Black oak parry stick painted with a series of stylized S'Kra Mur
377,Weapon:Black oak steppe bow wrapped with grey horsehair twined through polished vertebrae
378,Weapon:Black ritualist's knife resembling a serrated beak
379,Weapon:Black serrated throwing dagger
380,Weapon:Black shark's tooth
381,Weapon:Black sharkskin sling
382,Weapon:Black short bow carved into the shape of a stylized dolphin
383,Weapon:Black sling with a canvas cradle
384,Weapon:Black steel bastard sword with a scorched mahogany hilt painted with a red phoenix
385,Weapon:Black steel hhr'tami
386,Weapon:Black steel scimitar inset with a black diamond disc
387,Weapon:Black steel sword
388,Weapon:Black throwing dagger with a rotting leather-wrapped hilt
389,Weapon:Black throwing dagger with a skull hilt
390,Weapon:Black Urrem'tier mace
391,Weapon:Black walnut gut-stringed crossbow with an engraved cambrinth-inlaid stock
392,Weapon:Black walnut slurbow with a web patterned stock
393,Weapon:Black-bladed bastard sword with a silver gryphon atop the cross-guard (1)
394,Weapon:Black-bladed bastard sword with a silver gryphon atop the cross-guard (2)
395,Weapon:Black-bladed broadsword
396,Weapon:Black-bladed carving knife with polished mistwood handle
397,Weapon:Black-bladed igorat axe with a flamewood handle
398,Weapon:Black-bladed knife inset with a ruby on the pommel
399,Weapon:Black-bladed throwing dagger
400,Weapon:Black-coral inlaid carving knife
401,Weapon:Black-coral inlaid skinning knife
402,Weapon:Black-green ka'hurst mace with a purple gold enameled lotus blossom head
403,Weapon:Black-hafted halberd inlaid with a gold sunburst pattern on the blade
404,Weapon:Black-handled battle axe
405,Weapon:Black-handled morning star
406,Weapon:Black-pearl inlaid carving knife
407,Weapon:Blackened bastard sword etched with a multitude of severed heads
408,Weapon:Blackened bastard sword with a bloodstained leather grip
409,Weapon:Blackened bastard sword with a silver seahorse hilt
410,Weapon:Blackened bastard sword with a soot-covered hilt
411,Weapon:Blackened bastard sword with ruby embellishments
412,Weapon:Blackened bolt
413,Weapon:Blackened bone-handled carving knife
414,Weapon:Blackened boozeblade
415,Weapon:Blackened broadsword with an ivory skull pommel
416,Weapon:Blackened carving knife with a scorched oak hilt
417,Weapon:Blackened crossbow
418,Weapon:Blackened dagger etched with silvery cobwebs
419,Weapon:Blackened dagger with a wolf's head pommel
420,Weapon:Blackened flamberge-blade kris with a snarling oxyn wolf's head in the cross-guard
421,Weapon:Blackened glaes flamberge with a twisted bone handle
422,Weapon:Blackened greatsword
423,Weapon:Blackened halberd with a sweeping incurved blade
424,Weapon:Blackened hand mallet with a jaguar pelt grip
425,Weapon:Blackened horseman's bow painted with a multitude of severed heads
426,Weapon:Blackened horseman's mace with a bloodwood haft
427,Weapon:Blackened horseman's mace with an ebony haft
428,Weapon:Blackened hunting sword
429,Weapon:Blackened iron bolts
430,Weapon:Blackened iron-tipped bamboo staff
431,Weapon:Blackened ironwood crossbow
432,Weapon:Blackened Kaldaran totem spear etched with tribal runes along the leather-wrapped shaft
433,Weapon:Blackened light crossbow bearing a circular cambrinth medallion on the stock
434,Weapon:Blackened light crossbow bearing a circular medallion on the stock
435,Weapon:Blackened mambeli with a gold-inlaid hilt
436,Weapon:Blackened misericorde with a spiraled viper hilt
437,Weapon:Blackened misericorde with an viper-skin grip
438,Weapon:Blackened morgawr spine arrow
439,Weapon:Blackened nimsha etched with a silver labyrinthine pattern
440,Weapon:Blackened rakash femur
441,Weapon:Blackened robe dagger with an obsidian panther-shaped hilt
442,Weapon:Blackened schiavona
443,Weapon:Blackened scimitar set with a scratched silver charm in its hilt
444,Weapon:Blackened shark's tooth skinning knife
445,Weapon:Blackened shavi with an ivory skull pommel
446,Weapon:Blackened short sword etched with thin silver serpents
447,Weapon:Blackened shortbow etched with silvery vines
448,Weapon:Blackened silver elbow spikes with ruby embellishments
449,Weapon:Blackened silver half-handed riste with a serrated edge
450,Weapon:Blackened silver knee spikes with ruby embellishments
451,Weapon:Blackened silver-toed footwraps with ruby embellishments
452,Weapon:Blackened skull-crushing mace carved with a multitude of severed heads
453,Weapon:Blackened steel ball and chain
454,Weapon:Blackened steel bastard sword with a carved spider pommel
455,Weapon:Blackened steel bastard sword with a ruby rose pommel
456,Weapon:Blackened steel bastard sword with an intricate dragon's head hilt
457,Weapon:Blackened steel bola
458,Weapon:Blackened steel bola fashioned with fox heads
459,Weapon:Blackened steel bola with braided leather and sinew ties
460,Weapon:Blackened steel boomerang engraved with an array of seastars
461,Weapon:Blackened steel broadaxe capped with a gilded octopus
462,Weapon:Blackened steel broadsword
463,Weapon:Blackened steel broadsword etched with silver stars
464,Weapon:Blackened steel broadsword inlaid with cloisonne flames
465,Weapon:Blackened steel broadsword with a golden hilt (1)
466,Weapon:Blackened steel broadsword with a golden hilt (2)
467,Weapon:Blackened steel broadsword with silver spiders etched along the blade
468,Weapon:Blackened steel carving knife with a leather-wrapped hilt
469,Weapon:Blackened steel claymore with a garnet coyote nestled in the wrought silver hilt
470,Weapon:Blackened steel claymore with a scorched leather-wrapped hilt
471,Weapon:Blackened steel claymore with a spectrolite coyote nestled in the wrought silver hilt
472,Weapon:Blackened steel dagger inlaid with moonsilver
473,Weapon:Blackened steel elbow spikes
474,Weapon:Blackened steel flail with grinning skulls branded into the oak haft
475,Weapon:Blackened steel flail with swimming sharks branded into the maple haft
476,Weapon:Blackened steel gladius capped with a marble sphere
477,Weapon:Blackened steel guardarme with a scrimshaw handle
478,Weapon:Blackened steel horseshoe inlaid with an emerald four-leaf clover
479,Weapon:Blackened steel horseshoe inlaid with crossed garnet roses
480,Weapon:Blackened steel horseshoe stamped with the crest of the Thieves' Guild
481,Weapon:Blackened steel hunting sword wrapped in soft pink rosecloth
482,Weapon:Blackened steel iltesh with a large cabochon Sunderstone set into a tamboti pommel
483,Weapon:Blackened steel javelin
484,Weapon:Blackened steel katar shaped like a raven's head
485,Weapon:Blackened steel katar with a soft leather grip
486,Weapon:Blackened steel katar with an acid-etched blade
487,Weapon:Blackened steel katar with an intricately engraved blade
488,Weapon:Blackened steel knee spikes (1)
489,Weapon:Blackened steel knee spikes (2)
490,Weapon:Blackened steel longsword with a bone hilt
491,Weapon:Blackened steel lump
492,Weapon:Blackened steel machete inset with spectrolite along the grip (1)
493,Weapon:Blackened steel machete inset with spectrolite along the grip (2)
494,Weapon:Blackened steel machete with a dull brown grip
495,Weapon:Blackened steel marauder blade inset with faceted onyx
496,Weapon:Blackened steel misericorde with an ebony jackal hilt
497,Weapon:Blackened steel nightstick set with jagged lumps of loimic
498,Weapon:Blackened steel parry stick with sturdy steelsilk straps
499,Weapon:Blackened steel poignard
500,Weapon:Blackened steel poignard with a ban-minahle hilt
501,Weapon:Blackened steel quarterstaff inlaid with burnished silver vermiculations
502,Weapon:Blackened steel sabre with an ornate handguard
503,Weapon:Blackened steel scimitar dangling a braided lanyard from the hilt
504,Weapon:Blackened steel scimitar etched with a silvery wolverine
505,Weapon:Blackened steel scimitar etched with silver stars
506,Weapon:Blackened steel scimitar pierced with the silhouette of an undulate dragon
507,Weapon:Blackened steel scimitar with a Musparan silk wrapped hilt
508,Weapon:Blackened steel scimitar with an embossed leather hilt
509,Weapon:Blackened steel scythe etched along the blade with dark storm clouds
510,Weapon:Blackened steel scythe with a maple handle
511,Weapon:Blackened steel short sword etched with a silver lightning bolt
512,Weapon:Blackened steel sledgehammer (1)
513,Weapon:Blackened steel sledgehammer (2)
514,Weapon:Blackened steel sledgehammer (3)
515,Weapon:Blackened steel spiked knuckles
516,Weapon:Blackened steel staff studded with pure white thealstone orbs
517,Weapon:Blackened steel stiletto
518,Weapon:Blackened steel stiletto with a bone-shaped crossguard
519,Weapon:Blackened steel stiletto with a curved dragon claw pommel
520,Weapon:Blackened steel stiletto with a sharkskin-wrapped grip
521,Weapon:Blackened steel stiletto with inlaid white jade in the hilt
522,Weapon:Blackened steel sword with an empty crest setting in the ebony hilt
523,Weapon:Blackened steel throwing axe affixed upon an iroko hilt
524,Weapon:Blackened steel throwing dagger adorned by a three-tined claw
525,Weapon:Blackened steel throwing dagger etched with silver stars
526,Weapon:Blackened steel throwing dagger with a silver hilt
527,Weapon:Blackened steel throwing hammer with a sturdy haft of bone-inlaid bloodwood
528,Weapon:Blackened steel throwing hammer with a sturdy haft of bone-inlaid wyndewood
529,Weapon:Blackened steel throwing hammer with a weighted head
530,Weapon:Blackened steel throwing hammer with scorpion-shaped rubies set into the handle
531,Weapon:Blackened steel throwing spike stamped with a grinning skull
532,Weapon:Blackened steel trident (1)
533,Weapon:Blackened steel trident (2)
534,Weapon:Blackened steel war hammer with a wire-wound ironwood haft
535,Weapon:Blackened steel-capped ironwood staff
536,Weapon:Blackened stiletto with a jade eye set in the hilt
537,Weapon:Blackened sword etched with a multitude of severed heads
538,Weapon:Blackened thick-bladed fan with a ban-minahle grip
539,Weapon:Blackened twisted-hilt claymore engraved along the blade with ruby-inlaid flames
540,Weapon:Blackened war mallet with a leather-wrapped grip
541,Weapon:Blackened-prong trident with a sharkskin handle
542,Weapon:Blackened-steel bastard sword etched with a silvery storm cloud
543,Weapon:Blackened-steel war hammer (1)
544,Weapon:Blackened-steel war hammer (2)
545,Weapon:Blackened-steel war sword with icesteel-inlaid etchings along the blade
546,Weapon:Blackthorn shillelagh inlaid with green gold knotwork
547,Weapon:Blackwood latchbow with a steelsilk wrapped stock
548,Weapon:Blackwood latchbow with with a punka wrapped stock
549,Weapon:Blackwood staff sling with flaxen whipcords
550,Weapon:Blade with a mirror set into its hilt
551,Weapon:Bleached bone footwraps
552,Weapon:Bleached bone parry stick incised with small notches
553,Weapon:Bleached bone trident bearing intricate carvings (1)
554,Weapon:Bleached bone trident bearing intricate carvings (2)
555,Weapon:Blighted silverwillow longbow
556,Weapon:Blood red carving knife displaying the Barbarians' Guild crest
557,Weapon:Blood-red glaes quarterstaff with a crown of obsidian spikes
558,Weapon:Blood-red horseshoe inlaid with an ivory skull and crossbones
559,Weapon:Blood-red long arrows
560,Weapon:Blood-red sacrificial knife
561,Weapon:Blood-red thorn
562,Weapon:Blood-red tinted broadsword with a bone handle
563,Weapon:Bloodstained bone throwing hammer
564,Weapon:Bloodstained carving knife
565,Weapon:Bloodvine thorn knee spikes
566,Weapon:Bloodwood dako'gi crossbow set with a bone scrimshaw boltplate
567,Weapon:Bloodwood double-stringed crossbow carved to resemble a dragon
568,Weapon:Bloodwood javelin with a hardened steel tip
569,Weapon:Bloodwood shortbow stained with a macabre scene
570,Weapon:Bloodwood sniper's crossbow with a darkened steel tiller
571,Weapon:Bloodwood staff
